0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.99911,0.776,0.21378,0.38889,0.44444,0.47867,0.46267,0.46489,0.49412,0.50588,0.54706,0.5,0.50588,0.5,0.5,0.5,0.5,0.3605,0.47,0.001,0.497,0.5025,0.5035,0.504,0.447,0.106,0.916,0.45294,0.31176,0.63529,0.29412,0.5,0.5,0.5,0.5,0.99778,0.78889,0.28267,0.38844,0.44444,0.47822,0.46267,0.46489,0.5,0.5,0.61765,0.5,0.5,0.5,0.5,0.50588,0.5,0.274,0.5035,0.0,0.495,0.5045,0.5035,0.5015,0.414,0.08,0.915
0.99733,0.78889,0.34844,0.38844,0.444,0.47867,0.46311,0.46578,0.5,0.5,0.62353,0.5,0.5,0.5,0.5,0.5,0.5,0.1665,0.5185,0.0,0.497,0.5025,0.5025,0.495,0.272,0.118,0.972,0.48824,0.51765,0.60588,0.73529,0.5,0.5,0.5,0.5,0.99111,0.99644,0.46222,0.28533,0.444,0.47911,0.46356,0.46622,0.47059,0.50588,0.62353,0.67647,0.5,0.5,0.5,0.50588,0.5,0.5,0.5295,0.4835,0.497,0.501,0.5,0.494,0.238,0.034,1.002
0.976,0.99556,0.524,0.39689,0.444,0.47867,0.46222,0.46667,0.47647,0.5,0.6,0.72353,0.5,0.5,0.5,0.50588,0.5,0.5,0.5005,0.503,0.497,0.5025,0.506,0.4945,0.13,0.017,1.031,0.20588,0.28235,0.31176,0.44118,0.5,0.5,0.5,0.5,0.95333,0.98356,0.53778,0.51956,0.44444,0.47867,0.46356,0.46578,0.48235,0.47647,0.35294,0.44706,0.49412,0.5,0.5,0.5,0.5,0.5,0.4285,0.4875,0.4975,0.5025,0.5005,0.4965,0.208,-0.002,0.939
0.94267,0.97289,0.44267,0.48533,0.44444,0.47911,0.464,0.46578,0.54706,0.5,0.32941,0.46471,0.5,0.5,0.5,0.50588,0.5,0.5,0.424,0.5,0.4975,0.501,0.498,0.4965,0.243,0.053,1.002,0.21765,0.35882,0.52353,0.30588,0.5,0.5,0.5,0.5,0.996,0.98222,0.332,0.39911,0.44444,0.47867,0.46311,0.46622,0.50588,0.52941,0.5,0.31176,0.5,0.5,0.5,0.51176,0.5,0.5,0.4555,0.4475,0.497,0.5025,0.5015,0.4945,0.239,0.017,0.918
0.99689,0.99644,0.336,0.30489,0.44444,0.47867,0.46311,0.46533,0.50588,0.51176,0.52353,0.30588,0.50588,0.5,0.5,0.5,0.5,0.5,0.4965,0.419,0.497,0.5015,0.502,0.5035,0.313,0.058,0.983,0.13529,0.28824,0.38824,0.74118,0.5,0.5,0.5,0.5,0.99689,1.00222,0.31911,0.26667,0.44444,0.47911,0.464,0.46578,0.50588,0.49412,0.42353,0.64706,0.5,0.5,0.50588,0.50588,0.5,0.5,0.462,0.4455,0.497,0.5005,0.499,0.4965,0.282,0.027,1.03
0.99778,1.00044,0.28089,0.37067,0.44489,0.47867,0.46267,0.46578,0.51176,0.5,0.45294,0.71765,0.50588,0.5,0.5,0.50588,0.5,0.5,0.3745,0.5305,0.495,0.5025,0.504,0.4965,0.289,0.053,0.97,0.43529,0.25882,0.64706,0.37647,0.5,0.5,0.5,0.5,1.00133,0.98578,0.25156,0.49467,0.44489,0.47911,0.46267,0.46533,0.50588,0.48235,0.62353,0.38824,0.5,0.49412,0.5,0.50588,0.5,0.5,0.4325,0.4245,0.4945,0.499,0.5035,0.5035,0.265,0.044,0.98
0.99956,0.97244,0.31333,0.43156,0.44444,0.47822,0.46267,0.46533,0.49412,0.47059,0.62941,0.39412,0.5,0.5,0.50588,0.5,0.5,0.5,0.499,0.427,0.495,0.5045,0.5035,0.5035,0.221,0.013,1.022,0.18824,0.24706,0.57647,0.35294,0.5,0.5,0.5,0.5,0.99778,0.99733,0.41822,0.31111,0.444,0.47911,0.46311,0.46489,0.5,0.50588,0.57647,0.35294,0.5,0.5,0.5,0.5,0.5,0.5,0.532,0.4135,0.497,0.501,0.502,0.503,0.258,0.06,1.01
0.99778,1.00089,0.45378,0.26844,0.44444,0.47911,0.46267,0.46489,0.5,0.50588,0.57059,0.42941,0.5,0.5,0.5,0.50588,0.5,0.5,0.55,0.261,0.496,0.501,0.503,0.503,0.342,0.057,0.952,0.11765,0.27647,0.54118,0.52941,0.5,0.5,0.5,0.5,0.97511,1.00444,0.52044,0.21822,0.444,0.47867,0.46,0.46489,0.47647,0.50588,0.54118,0.5,0.50588,0.5,0.49412,0.50588,0.5,0.5,0.5135,0.129,0.497,0.5015,0.515,0.503,0.366,0.015,0.967
0.96311,1.00444,0.54089,0.21822,0.444,0.47911,0.45911,0.46489,0.48235,0.50588,0.53529,0.5,0.50588,0.5,0.5,0.50588,0.5,0.5,0.517,0.2,0.497,0.501,0.5205,0.503,0.361,0.0,0.964,0.48235,0.2,0.47647,0.58824,0.5,0.5,0.5,0.5,0.94089,1.00489,0.56,0.22667,0.444,0.47956,0.45867,0.46489,0.48235,0.50588,0.48824,0.58824,0.50588,0.5,0.5,0.50588,0.5,0.5,0.5025,0.3845,0.4955,0.499,0.5235,0.503,0.337,0.004,0.968
0.92978,1.00444,0.556,0.26089,0.44444,0.47956,0.45911,0.46622,0.48824,0.5,0.5,0.57059,0.50588,0.5,0.5,0.50588,0.5,0.5,0.4665,0.4365,0.497,0.499,0.522,0.494,0.309,-0.0,0.997,0.44118,0.22941,0.22353,0.57059,0.5,0.5,0.5,0.5,0.90889,1.00267,0.46089,0.32178,0.44444,0.47956,0.46444,0.46444,0.47059,0.5,0.22941,0.55882,0.50588,0.5,0.5,0.50588,0.5,0.5,0.4135,0.51,0.495,0.4985,0.4955,0.504,0.339,0.089,0.942
